"Model","Reviews"
"iPhone 11 Pro Max","I got a really good looking phone I’ve got the gold 256 GB and it’s really a upgrade from my old Samsung battery health did come at 85%. I guess that’s decent right other than that it’s a really great phone."
"iPhone 11 Pro Max","I was having a real problem (to me) with the ""Zoom"" feature. I must have been unknowingly touching the screen with three fingers, thus enlarging the font too much for the screen size. After de-selecting that ""Zoom"" feature, I became happy again with the purchase."
"iPhone 11 Pro Max","Was I nervous to buy a $500 iphone on Amazon? Yes! I am glad I did, the phone arrived in excellent condition, with a screen protector already on. I'm very happy its not cracked or majorly scratched, I recommend buying this phone."
"iPhone 11 Pro Max","I really enjoyed battery life,facial recognition is something new for me enjoying my iPhone very much"
"iPhone 11 Pro Max","Okay Reviewers I ordered this IPhone 11 Pro Max off of my sons prime account.. This is one bad ass phone! And I got a great deal from this amazing company! Shipping was on point! And this phone OMG perfect! Like it came from Apple! If I didn’t know it was refurbished? I would have thought it was never touched! That’s how perfect it is! I felt like a child at Christmas! Stoked! So, definitely would and will buy from this company again! Thank you for your loyalty to your customers! Super excited! Placed it in a case as soon as I looked at it .
Okay about the iPhone 11 Pro Max .. outside of it’s beauty . Wish I could take a picture of it , but i can’t . I’m on it..
the 11 is holding its value for great reasons .. it really is a bad ass phone !! And the 12’s are nice but the 11’s sit right next to those 12’s ! But cheaper in price but the quality is all the same!
The pictures are amazing!!! ( FYI My son has the 12 My sister 12 pro and brother in law has 12 pro Max ) so pictures are not so noticeably different.. cause this 11 pro Max takes great photos also and the battery life is awesome ! 24 hrs no charge and still had life left! I have charged it with the cord charging ( it came with a good charging cord not junk) and I also have charged it with the magnetic cordless charging.. about the same.
I have not done the face recognition as of yet.. I use a passcode.. I do miss the finger / thumb recognition button but from what I see with my son ? Face recognition is prob just as fast or faster?
The speakers on this is loud! Love it!
Now yes this is a bigger device it is a 6.5 in screen but it’s not bulky at all ! The phone is slender not heavy but a case did help tremendously holding it cause it’s so thin.. haha i dont know how to explain that one but I Dont know to drop it haha so a case helps to grip it .. if that makes sense ? Lol
But with the cheaper price tag ? I was able to get the highest GB and still save a few hundred’ dollars!
I did my research cause I was looking at this phone for a while and then was gearing for the 12 pro Max for it has 3 or 4 better features. But After comparing and deep research? What was being said is true! The 11’s are amazing phones! And unless your a Photographer? You won’t see a inkling of a difference with the camera or video.. the processor in the 11’s are also fast and made right! Apple surly did a great job with the 11’s !!! So again for what you get and with that price tag ? You can’t go wrong with the Iphome 11 pro Max! I’m freaking happy I got one heck of a deal ! I love the look ,the quality, how fast it responds, the pictures, the battery life, the features, and the company that I bought it from! Hope this helps with someone’s research and decision making!"
"iPhone 11 Pro Max","Phone was in new condition and clean operation when received. Upgraded from 7 Plus. A good jump in speed and quality."
"iPhone 11 Pro Max","Excelente servicio y teléfonos en lo personal tuve un pequeño inconveniente pero inmediatamente me dieron solución 100% recomendado entre mi familia y amigos"
"iPhone 11 Pro Max","Worked great for 3 days and then started messing up. I returned for a refund and it’s been NOTHING but problems trying to get my money back. I’ve gotten the run around told several different story’s! I was told I would have my refund back by the 27th here is it the 29th and still haven’t seen the refund. When I try to find out about it all I get is rude agents that are hateful as all get out with no information. There is no problem giving your money but sure is hard to get it back! It’s a hit or miss better off saving for a new one! It’s very aggravating and a headache it’s not $20 or something it’s almost $600. They tell you 2 weeks for your refund but when the 2 weeks come they turn around and say longer than 2 weeks. If you do purchase good luck hopefully you’re experience is better!

I was kinda nervous to buy this as the last phone I got (FROM ANOTHER SELLER) I had problems from the beginning even the 2nd phone they had sent me. But this by far is an amazing purchase! If I didn’t know it was “renewed” I’d swear it was brand new off the shelf! Also came with 100% battery life! Got it yesterday at 8:00am and it’s now 4:23pm the next day and it’s still yet to go dead I’ve not even had to charge it. It did come completely dead but that’s not a big deal I guess. I’ve used it a lot so battery is by far AMAZING! That’s a big plus for me the speakers are amazing and very loud. If ever needed I will definitely come back to this seller with no hesitation at all! I’m just very pleased with everything over all!"
"iPhone 11 Pro Max","Good but worth the price !
No issues !
Just need a good charger"
"iPhone 11 Pro Max","Great customer service!!! First phone the volume was low and they returned with no problems. Second phone is perfect!! Will definitely do business again!! Thanks"
