"Brand","Model","Reviews","Language"
"Samsung","Samsung Galaxy S20 FE","Buen producto me gusto mucho","es"
"Samsung","Samsung Galaxy S20 FE","Buen teléfono, aunque no es la versión 5g, y los marcos son más grandes de lo que esperaba","es"
"Samsung","Samsung Galaxy S20 FE","Excelente terminal, muy buena relación, calidad precio. Recomendado","es"
"Samsung","Samsung Galaxy S20 FE","Mi hijo estaba muy contento. Súper recomendable","es"
"Samsung","Samsung Galaxy S20 FE","Me gusto mucho el teléfono, pero lo compre supuestamente desbloqueado para todas las compañías y no fue así, no lo puedo usar con Verizon y sprint y nunca dijeron nada a respecto eso fue lo que me decepcionó.","es"
"Samsung","Samsung Galaxy S20 FE","rendimiento espectacular y fotos increíbles!!","es"
"Samsung","Samsung Galaxy S20 FE","Muy útil","es"
"Samsung","Samsung Galaxy S20 FE","Llegó en el tiempo estipulado, en buen estado! Funciona muy bien y a buen precio, excelente","es"
"Samsung","Samsung Galaxy S20 Plus","Excelente equipo. Pero ya se rayo la pantalla y los audífonos originales mala calidas solo le funciono una sola corneta. Es engorroso el proceso de reclamo.","es"
"Samsung","Samsung Galaxy S20 Plus","Tengo usando el teléfono varios meses en los cuales he constatado de primera mano su impecable desempeño..
En Ecuador no tengo ningún problema con las diferentes operadoras telefonicas..","es"
"Samsung","Samsung Galaxy Note 20 Ultra","Devuelto el mismo dia ya que el dispositivo llego con la parte trasera rota","es"
"Samsung","Samsung Galaxy Note 20 Ultra","Recibí el teléfono pero no recibí los auriculares ni el conector USB y en la descripción de articulo dice que vienen incluidos","es"
"Samsung","Samsung Galaxy Note 20 Ultra","Una compra fácil, mucha potencia, calidad de construcción y el slot para ampliar la memoria es un plus que ya no viene más. El último gran note.","es"
"Samsung","Samsung Galaxy Note 20 Ultra","El equipo llega renovado directamente por samsung. Hasta parece nuevo. Con todos sus plásticos y protectores. El procesador es snapdragon. Esta casi a la altura del nuevo s22 ultra y la verdad es que no le pide nada. E incluso te ahorras casi unos 8 mil pesos. Funciona bien con la red de telcel. Sin duda lo recomiendo. Solo trae cable de datos pero. No recomiendo comprar el cargador ultra rápido ya que desgastas tu bateria. La carga rapida incluso noto que la hace mas rápido que en mi S10+.","es"
"Samsung","Samsung Galaxy Note 20 Ultra","Llegó en perfectas condiciones, sin ningún detalle","es"
"Samsung","Samsung Galaxy Note 20 Ultra","El equipo en excelentes condiciones el único detalle es que dice que incluye audiculares y cargador y solo venía el USB fuera de ahí en perfecto estado todo y es snap Dragon 5g 128 GB 12 de ram","es"
"Samsung","Samsung Galaxy S21 FE","Q no me yego completo solo yego el aparato y el Chablé para cargar pero no la clavija donde conectar el clavel del cargador","es"
"Samsung","Samsung Galaxy S21 FE","Muy satisfecho","es"
"Samsung","Samsung Galaxy S21 FE","Si lo que buscas es una camara es muy bueno! Ahora si lo que buscas es un teléfono es mejor que lo compres en una tienda reconocida, por aquí es imposible encontrar algo que funcione bien!","es"
"Samsung","Samsung Galaxy S21 FE","No me llego el cargador del celular, con quien puedo hablar","es"
"Samsung","Samsung Galaxy S21 FE","Es muy interesante como sin darme cuenta la batería se descarga paso horas con el celular y me distraigo fácil duro hasta 5 horas usándolo leyendo o viendo videos y pues casi ni cargo el cel, me suelo despertar a la 3 pm y apenas a la 7 pm o 9 pm es que estoy volviendo a conectar el celular solo por que este tiene una carga de 36% o inferior","es"
"Samsung","Samsung Galaxy S21 FE","Buen equipo tiene buena cámara","es"
"Samsung","Samsung Galaxy S21 FE","Es la razón del reembolso","es"
"Samsung","Samsung Galaxy S21 FE","Vengo de un samsung j7 (2016) y tener este celular es tan bello, es un gran cambio me agrada tanto, me encanta que venga desbloqueado de fábrica, soy de Honduras tengo Red Tigo y me funcionó al 100% desde la primera vez que le puse el chip, no me toco andar activando el celular y gastando de más, el reconocimiento facial no lo he probado, el lector de huella siento que le cuesta siempre tengo que poner mi dedito mínimo dos veces porque no lo reconoce, creo que se descarga un poco rápido, esta en 100% me pongo a jugar un ratito y ya lo tengo en 97 y un juego que no es taan difícil (Beach buggy) , aveces siento que se caliente por la parte de arriba al lado de la cámara por creo que es porque paso pegada en el cel todo el día y la temperatura ambiental acá no ayuda, cuando lo pongo a cargar carga rápido en aproximadamente 1 hora y 10 o 30 mints., la cámara trasera es sensacional me encanta su modo de noche es muy nitida, la cámara delantera no me dejo muy feliz si no estas en buenas condiciones de luz se verá rara la foto, el video en 4k está asombroso, tiene buenas funciones el celular, la verdad lo recomiendo un montón el color es bello. En su caja solo venía el celular, el cargador y algunos papeles. Si estas interesado en este celular compralo, es una buena elección, no te arrepentirás.","es"
"Samsung","Samsung Galaxy S21 FE","Teléfono nuevo, batería de corta duración, directamente lo desenchufo de su carga y apararece 98% de batería","es"
"Samsung","Samsung Galaxy S21 FE","Esta bonito y si lo puedes activar en cualquier compañía telefónica","es"
"Samsung","Samsung Galaxy S21 FE","La única queja que tengo hasta ahora es que la batería no dura nada . Me dura 6 horas y yo siempre he tenido Samsung y Siempre duran mucho","es"
"Samsung","Samsung Galaxy S21 FE","Muy buen equipo.","es"
"Samsung","Samsung Galaxy S21 FE","Por ahora me gusta , todavía lo estoy probando","es"
"Samsung","Samsung Galaxy S21 FE","El único contra que podría decir es la batería, hay que saber administrarla en el día a día.
Lo demás todo increíble.","es"
"Samsung","Samsung Galaxy S21 FE","Fácil al tacto y la bateria durable.","es"
"Samsung","Samsung Galaxy S21 FE","Al ser un standar de la industria, deberían indicar previamente que no viene con un espacio para aumentar memoria a través de memorias SD (ni micro, ni mini, nada). Además tampoco puedes conectar tus auriculares en el equipo. Su rendimiento gráfico es excelente y su procesador es muy bueno, pero la batería no dura tanto como lo promocionado. Es importante saber que si eres de los que toma muchas fotografías, o descargas tus series o música en el teléfono, es obligado comprar espacio en la nube","es"
"Samsung","Samsung Galaxy S21 FE","Lo envié para mi hijo a Cuba, y hoy es que pude enviarle el cargador, con una amiga que va para allá","es"
"Samsung","Samsung Galaxy S21 FE","Llego en las fechas establecidas y físicamente esta en perfecto estado","es"
"Samsung","Samsung Galaxy S21 FE","Lo lleve a un taller por que no reconocia la linea y me dijeron que era una copia despues me pusieron la lienea en otro lugar y funciono pero quisiera saber a alguien le han dicho que es una copia me quede con la duda por que lo pague como original","es"
"Samsung","Samsung Galaxy S21 FE","Muy buen producto.","es"
