"Brand","Model","Reviews","Language"
"Samsung","Samsung Galaxy S20 FE","Good product I liked very much","en"
"Samsung","Samsung Galaxy S20 FE","Good phone, though it's not version 5g, and the frames are bigger than I expected.","en"
"Samsung","Samsung Galaxy S20 FE","Excellent terminal, very good ratio, quality price. Recommended","en"
"Samsung","Samsung Galaxy S20 FE","My son was very happy. Super recommended","en"
"Samsung","Samsung Galaxy S20 FE","I really liked the phone, but I bought it supposedly unlocked for all companies and it wasn't like that, I can't use it with Verizon and sprint and they never said anything about it that was what disappointed me.","en"
"Samsung","Samsung Galaxy S20 FE","spectacular performance and amazing photos!!","en"
"Samsung","Samsung Galaxy S20 FE","Very useful","en"
"Samsung","Samsung Galaxy S20 FE","It arrived at the stipulated time, in good condition! It works very well and at good price, excellent","en"
"Samsung","Samsung Galaxy S20 Plus","Excellent equipment. But the screen is already scratched and the original hearing aids poorly heated only worked a single horn. It is cumbersome the process of claim.","en"
"Samsung","Samsung Galaxy S20 Plus","I have used the phone several months in which I have verified first hand its impeccable performance.. In Ecuador I have no problem with the different telephone operators..","en"
"Samsung","Samsung Galaxy Note 20 Ultra","Returned the same day as the device arrived with the rear broken","en"
"Samsung","Samsung Galaxy Note 20 Ultra","I got the phone but I didn't get the headphones or the USB connector and the article description says they're included.","en"
"Samsung","Samsung Galaxy Note 20 Ultra","An easy purchase, lots of power, construction quality and slot to expand memory is a plus that no longer comes. The last great note.","en"
"Samsung","Samsung Galaxy Note 20 Ultra","The equipment comes renovated directly by samsung. It even looks new. With all its plastics and protectors. The processor is snapdragon. This almost at the height of the new ultra s22 and the truth is that it does not ask anything. And you even save almost 8,000 pesos. It works well with the telcel network. I definitely recommend it. It only brings data cable but. I do not recommend buying the ultra fast charger since you wear your battery. The fast charge even notice that it makes it faster than on my S10+.","en"
"Samsung","Samsung Galaxy Note 20 Ultra","He arrived in perfect condition, without any detail","en"
"Samsung","Samsung Galaxy Note 20 Ultra","The equipment in excellent condition the only detail is that it says it includes auditory and charger and only came the USB out of there in perfect condition everything and is snap Dragon 5g 128 GB 12 ram","en"
"Samsung","Samsung Galaxy S21 FE","Q I don't cast out complete only cast the device and the Chablé to load but not the plug where to connect the charger carnation","en"
"Samsung","Samsung Galaxy S21 FE","Very satisfied.","en"
"Samsung","Samsung Galaxy S21 FE","It's very interesting how without realizing the battery is downloaded I spend hours with the cell phone and distract me easily hard up to 5 hours using it reading or watching videos and because almost neither do I charge the cell, I usually wake up at 3 pm and just at 7 pm or 9 pm is that I am reconnecting the cell only because it has a charge of 36% or lower","en"
"Samsung","Samsung Galaxy S21 FE","If what you are looking for is a camera is very good! Now if what you are looking for is a phone it is better to buy it in a recognized store, over here it is impossible to find something that works well!","en"
"Samsung","Samsung Galaxy S21 FE","I can't get the cell phone charger, who I can talk to.","en"
"Samsung","Samsung Galaxy S21 FE","Good team has good camera","en"
"Samsung","Samsung Galaxy S21 FE","That's the reason for the refund.","en"
"Samsung","Samsung Galaxy S21 FE","I come from a samsung j7 (2016) and have this cell phone is so beautiful, it's a big change I like so much, I love that it comes unlocked from factory, I am from Honduras I have Red Tigo and it worked 100% since the first time I put the chip on it, I don't touch to go activating the cell phone and spending too much, the facial recognition I haven't tried it, the print reader I feel it costs you always I have to put my finger minimum twice because I don't recognize it, I think it downloads a little fast, it's 100% I get to play a little bit and I already have it in 97 and a game that is not taan difficult (Beach buggy) , sometimes I feel like it gets hot from the top side of the camera because I think it's because I step stuck in the cell all day and the environmental temperature here doesn't help, when I put it to charge fast charge in about 1 hour and 10 or 30 mints., sometimes I love its way of night is very sharp, the front camera I don't leave me very happy if you in good light conditions you will not look the photo, the cellular is rare, the truth, the mobile is, I recommend it's it's it's it's amazing it's it's it's amazing, the picture, the picture, it's it's it.","en"
"Samsung","Samsung Galaxy S21 FE","New phone, short battery life, directly unplug it from its charge and 98% battery","en"
"Samsung","Samsung Galaxy S21 FE","It's nice and if you can activate it in any phone company","en"
"Samsung","Samsung Galaxy S21 FE","The only complaint I have so far is that the battery doesn’t last at all. It lasts 6 hours and I’ve always had Samsung and they always last a long time.","en"
"Samsung","Samsung Galaxy S21 FE","Very good team.","en"
"Samsung","Samsung Galaxy S21 FE","The only thing I could say against is the battery, you have to know how to administer it in the day to day.","en"
"Samsung","Samsung Galaxy S21 FE","Easy to touch and durable battery.","en"
"Samsung","Samsung Galaxy S21 FE","For now I like it, I'm still testing it.","en"
"Samsung","Samsung Galaxy S21 FE","Being an industry standar, they should indicate beforehand that it does not come with a space to increase memory through SD memory (neither micro, nor mini, nothing). Also you can not connect your headphones on the computer. Its graphic performance is excellent and its processor is very good, but the battery does not last as long as it is promoted. It is important to know that if you are of those who take many photographs, or download your series or music on the phone, you are obliged to buy space in the cloud","en"
"Samsung","Samsung Galaxy S21 FE","I arrive on set dates and physically is in perfect condition","en"
"Samsung","Samsung Galaxy S21 FE","I sent it for my son to Cuba, and today I was able to send him the charger, with a friend going there.","en"
"Samsung","Samsung Galaxy S21 FE","I took him to a workshop because he didn't recognize the line and they told me it was a copy, then they put my line somewhere else and it worked, but I'd like to know someone told me it's a copy. I'm left with the doubt that I'll pay for it as an original.","en"
"Samsung","Samsung Galaxy S21 FE","Very good product.","en"
