"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"doubtful",-1.57981181144714,-0.834850072860718,1.8127692937851,-1.2121547460556,0.597120821475983,0.657988488674164,0.504808306694031,0.380809754133224,-0.763564944267273,-0.564066290855408,-0.173248931765556,-1.20340919494629,1.01426446437836,-0.621472835540771,2.08185338973999,0.62256795167923,0.52783328294754,0.116946063935757,0.698665142059326,0.597096979618073,0.564293086528778,-1.1814501285553,1.59235310554504,0.889396011829376,1.32830476760864,-0.601185381412506,-1.57104134559631,-0.765058815479279,0.978502094745636,-0.375633925199509,-0.764892160892487,0.0452729053795338,-0.352948009967804,-0.965222060680389,0.896770536899567,0.495963513851166,-0.82450270652771,-0.348140776157379,-1.07251107692719,-0.0492082573473454,-0.909315228462219,-0.933294057846069,0.292115092277527,0.354307174682617,1.62042343616486,0.295179337263107,0.58875846862793,0.0214739143848419,2.83181667327881,-1.50183284282684
"great",-0.274426609277725,-1.96115243434906,1.14539992809296,0.53478068113327,1.03381836414337,-0.573509991168976,-0.484057307243347,1.41654539108276,-0.628827810287476,-0.96450674533844,-1.47757256031036,0.419842422008514,-0.736456573009491,-1.19562363624573,0.241916283965111,1.05043363571167,-0.599485576152802,-0.0366062000393867,-0.135831192135811,1.61307179927826,-1.77781987190247,-0.31479075551033,0.387612849473953,0.853365540504456,-0.139921754598618,2.02797937393188,0.0929272547364235,-0.0300696417689323,1.12646472454071,-0.953549146652222,-0.722230911254883,-0.593048691749573,-0.324103027582169,2.16865372657776,1.10564696788788,-1.18798398971558,-0.335765272378922,-0.190850079059601,1.20705723762512,-1.68773603439331,0.881015479564667,-0.0463331416249275,-2.23860430717468,0.0788452923297882,0.221674248576164,-0.524718582630157,-0.352059453725815,-0.954763829708099,0.188108280301094,-0.789038896560669
"them",0.688596546649933,1.27629268169403,1.95783889293671,-0.782643139362335,0.41904804110527,0.759503424167633,-1.37041223049164,-0.566045343875885,-0.517003893852234,0.061192475259304,0.475807160139084,1.20412242412567,-0.580538332462311,1.10178899765015,0.133393347263336,0.267455399036407,0.566223978996277,-1.81488537788391,0.0119386361911893,-0.395086795091629,1.27644574642181,1.27522385120392,-0.929067432880402,0.969103991985321,-1.21725940704346,-0.231162309646606,-1.0787707567215,-0.512584567070007,-1.49945950508118,1.07774329185486,0.121669441461563,1.66495430469513,0.82443755865097,-0.742444336414337,-1.42487740516663,-0.917560398578644,-0.0154121182858944,0.483754009008408,-1.2966490983963,0.517250180244446,-0.961036145687103,-1.61821007728577,-0.259907871484756,1.78539609909058,-0.715541958808899,-0.885173559188843,-0.357197731733322,-0.137240439653397,1.8310124874115,1.02354729175568
"serve",2.10751533508301,1.74166178703308,-0.804012954235077,1.6830632686615,-0.0498469769954681,0.330235213041306,-0.766521394252777,0.0142539711669087,-1.54631817340851,-0.903779327869415,-0.621644139289856,-0.314678758382797,-1.33490371704102,1.07274758815765,0.688823103904724,0.890568673610687,0.0855367854237556,-0.364526778459549,1.11450016498566,-0.747008979320526,1.76135182380676,-0.153997659683228,-1.38752150535583,-0.939729332923889,-0.0110832275822759,-1.15893864631653,-1.12985825538635,0.721655011177063,-1.38045847415924,-1.08899295330048,-0.908440232276917,-0.0683834254741669,-1.11710155010223,-0.190051063895226,-1.68532466888428,0.517605900764465,-0.807907938957214,-1.09144651889801,0.0334308259189129,0.271456003189087,-0.712405920028687,1.7363920211792,0.0687738060951233,1.01842844486237,0.18180325627327,-1.58034157752991,-1.3071745634079,0.115052260458469,-0.539066016674042,-0.312029719352722
"awful",0.410399228334427,-1.04980397224426,0.249707117676735,0.0702595636248589,-0.490098178386688,-0.67685204744339,-0.260270684957504,-0.48077118396759,-0.95347785949707,-0.142961516976357,-1.05408215522766,0.170546814799309,-0.218476638197899,-1.74311196804047,1.12231242656708,-0.938929200172424,-0.266475319862366,1.15377140045166,-0.0714978128671646,1.30011427402496,-1.20476710796356,-0.246680691838264,2.14518070220947,0.109659172594547,0.936546266078949,1.03953170776367,-1.80505180358887,1.10178399085999,0.31185644865036,-0.597271978855133,-1.41083383560181,-0.0878157019615173,1.24022674560547,1.08330082893372,1.71008384227753,-0.144316554069519,-0.577861130237579,-0.556818842887878,0.434702336788177,0.513393521308899,1.6950945854187,0.924337327480316,-0.374521702528,0.776228547096252,0.277820229530334,-2.33235430717468,-1.75948536396027,-1.35577356815338,-0.749643385410309,-0.158825725317001
"lower",-0.294954359531403,-0.546447277069092,1.53580892086029,1.38876724243164,-0.364320933818817,-0.457723498344421,-0.327398359775543,0.248637825250626,-0.259805530309677,0.983966886997223,-0.571880221366882,-0.254230439662933,0.643710792064667,-1.38666880130768,1.1486474275589,0.424644857645035,0.265206962823868,-0.315312772989273,-1.25732612609863,0.214297384023666,-0.232570603489876,-0.852488875389099,-0.969938158988953,0.305132448673248,-0.483653783798218,-0.811875939369202,0.980636835098267,1.91678190231323,-0.818378388881683,-2.20733976364136,-0.963970839977264,1.72734999656677,-0.628029644489288,1.11338543891907,-1.90582680702209,0.583290994167328,-0.271942764520645,0.0111189363524318,-0.0702344104647636,-1.76088297367096,0.263294726610184,-0.465810060501099,-0.267727077007294,-0.201783508062363,2.40965485572815,0.130190253257751,1.22146332263947,-1.83950924873352,1.03176653385162,0.0883339121937752
"create",0.862863779067993,0.477947413921356,0.601337611675262,0.333931535482407,-0.240642517805099,1.64750444889069,-2.74234414100647,1.60775446891785,-0.274497658014297,0.678314387798309,0.220730632543564,0.281279146671295,1.08526909351349,-0.240400165319443,0.721285760402679,-1.24544441699982,-0.4866102039814,-0.819645524024963,-1.63855266571045,-1.11703073978424,-0.780937850475311,-1.46625506877899,1.23828649520874,-0.026383925229311,-0.671351611614227,-0.564506590366364,-0.617641568183899,-0.608619570732117,-1.14715373516083,-0.623053848743439,-0.122675888240337,-0.509340882301331,-0.303063929080963,-2.17691969871521,-1.00115263462067,-1.18269193172455,0.218720674514771,-0.616289854049683,-1.59841954708099,1.78853583335876,0.272942394018173,0.132752373814583,1.62035620212555,-0.238302007317543,-0.211248874664307,-0.796139657497406,-0.505178093910217,1.28807878494263,0.364776253700256,-0.396838188171387
"loss",-0.394931674003601,0.727192401885986,1.44457721710205,-0.930828630924225,-0.856154382228851,0.0725022703409195,0.531835556030273,-0.701452791690826,-0.241416454315186,-0.38170400261879,0.492717206478119,1.67783331871033,1.2698495388031,-1.17271912097931,0.891232669353485,-1.40470194816589,0.557198286056519,-1.3353579044342,-0.434287369251251,-0.808721601963043,0.702140390872955,0.486246734857559,0.420482784509659,0.588575303554535,1.77303779125214,-0.63509464263916,-1.58136022090912,-0.128469318151474,0.181722342967987,-2.57051658630371,-0.853936374187469,0.0745551064610481,0.878487884998322,-0.0617185533046722,2.15091633796692,0.692273557186127,1.55681014060974,-0.0062790191732347,-0.740486145019531,-0.25403568148613,0.458843678236008,0.476237773895264,2.45303773880005,0.416936576366425,-0.180516391992569,-0.904349803924561,0.683546006679535,-1.14979767799377,-0.109579980373383,0.0714621990919113
"slot",-0.51386559009552,0.164388805627823,0.429382741451263,0.12875372171402,-1.31568515300751,1.22241842746735,2.35221791267395,1.28433072566986,0.867769956588745,-1.48372173309326,-0.956083953380585,-1.11531126499176,-0.194275945425034,-0.263391464948654,-0.892536222934723,-0.979656040668488,-0.609057247638702,-0.0515806972980499,-0.0224380567669868,-0.926376581192017,-0.568123161792755,0.535430371761322,0.590155482292175,0.586049973964691,0.0419501662254333,-0.366992324590683,0.23378449678421,0.711503446102142,0.41519358754158,-1.31313145160675,-0.281008332967758,0.466626703739166,-0.285602420568466,-0.336426824331284,-1.30601847171783,-0.38857090473175,0.0163565091788769,0.512457430362701,-0.897596538066864,0.283665418624878,-1.28744971752167,3.0259907245636,-0.271133095026016,0.391035139560699,-1.26682591438293,0.00717205880209804,1.92699885368347,0.687387824058533,-1.56086730957031,-2.05718183517456
"b",-0.421806246042252,-0.0867271274328232,0.130203276872635,-0.620283365249634,-0.0867856815457344,-1.98582434654236,0.041954655200243,-0.821352541446686,0.898108959197998,-0.763889610767365,-2.36753129959106,-0.548385620117188,-0.363741099834442,0.385615885257721,0.278962641954422,-0.699926912784576,0.728770196437836,0.0505248196423054,1.00952124595642,-2.21419024467468,-0.396177232265472,0.473644703626633,1.06260097026825,0.657508730888367,0.272383213043213,0.166342556476593,-1.43874442577362,-0.240970343351364,-0.155298173427582,0.720448851585388,0.320632785558701,-0.610299170017242,-0.118039280176163,-0.603387117385864,0.376255422830582,1.22009575366974,0.0722065642476082,-0.701423346996307,-1.42520654201508,-0.830142378807068,2.44917273521423,-1.79921424388885,-0.83309131860733,1.66965639591217,-1.17032372951508,0.409594058990479,0.378394573926926,1.24742376804352,1.95239162445068,0.0495973527431488
